year,dead
1973,7625
1974,9160
1975,10157
1976,10834
1977,11136
1978,11644
1979,12104
1980,12582
1981,13089
1982,13419
1983,13612
1984,14192
1985,14244
1986,14570
1987,15209
1988,15324
1989,15340
1990,15718
1991,16042
1992,16345
1993,16087
1994,16121
1995,16175
1996,16181
1997,16386
1998,16602
1999,16307
2000,15973
2001,15905
2002,15939
2003,16098
2004,15518
2005,15553
2006,15266
2007,15008
2008,14109
2009,13289
2010,11175
2011,6319
