year,alive
1973,2586
1974,3493
1975,4355
1976,4482
1977,4525
1978,4427
1979,4574
1980,4616
1981,4793
1982,4804
1983,5085
1984,5344
1985,5756
1986,6106
1987,6358
1988,7312
1989,7862
1990,8739
1991,9322
1992,9794
1993,9979
1994,10100
1995,11088
1996,3697
1997,3933
1998,4077
1999,4269
2000,4357
2001,4283
2002,4349
2003,4587
2004,4804
2005,5035
2006,5469
2007,5764
2008,6296
2009,7210
2010,7890
2011,8600
