year,alive
1973,106
1974,144
1975,203
1976,212
1977,275
1978,285
1979,345
1980,406
1981,472
1982,501
1983,566
1984,645
1985,735
1986,890
1987,1214
1988,1329
1989,1749
1990,2345
1991,3645
1992,4979
1993,5465
1994,5750
1995,6272
1996,7307
1997,8447
1998,9221
1999,10969
2000,11999
2001,13576
2002,14755
2003,14491
2004,15540
2005,15709
2006,18477
2007,20320
2008,19772
2009,20721
2010,21035
2011,21371
