year,dead
1973,4950
1974,5737
1975,6001
1976,6122
1977,6110
1978,6094
1979,6465
1980,6489
1981,6592
1982,6631
1983,6798
1984,6895
1985,6983
1986,7024
1987,7154
1988,7252
1989,7282
1990,7376
1991,7654
1992,7723
1993,7738
1994,7817
1995,7841
1996,8222
1997,8402
1998,8562
1999,8639
2000,8516
2001,8587
2002,8903
2003,8930
2004,9292
2005,9221
2006,9307
2007,9273
2008,9224
2009,9097
2010,7818
2011,4760
