year,count
1973,8377
1974,10281
1975,11856
1976,11697
1977,11196
1978,10843
1979,10708
1980,10682
1981,10666
1982,10718
1983,10890
1984,11155
1985,11420
1986,11485
1987,11861
1988,12693
1989,13350
1990,14321
1991,14802
1992,15026
1993,15192
1994,15198
1995,15962
1996,8027
1997,8243
1998,8249
1999,8296
2000,8167
2001,8077
2002,7941
2003,7964
2004,8110
2005,8141
2006,8357
2007,8503
2008,8839
2009,9402
2010,9508
2011,9437
